timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-11-23,114.0800,115.7300,113.7715,114.9000,114.2006,464296,0.0000,1.0000
2018-11-21,112.1100,115.2700,112.1100,114.8000,114.1012,956113,0.0000,1.0000
2018-11-20,110.8500,113.2200,108.3691,111.3800,110.7020,1816074,0.0000,1.0000
2018-11-19,117.4900,117.9900,112.5900,113.4400,112.7495,1525240,0.0000,1.0000
2018-11-16,118.9400,119.2000,116.6400,117.2800,116.5661,1294218,0.0000,1.0000
2018-11-15,121.9000,121.9000,116.5000,119.8200,119.0906,1539692,0.0000,1.0000
2018-11-14,122.9900,126.5900,121.7900,122.1900,121.4462,1505803,0.0000,1.0000
2018-11-13,121.5500,124.1300,120.7250,121.4200,120.6809,886601,0.0000,1.0000
2018-11-12,124.9200,126.5100,120.8201,121.0300,120.2933,1723695,0.0000,1.0000
2018-11-09,130.6400,131.5600,123.9000,123.9300,123.1756,2079444,0.0000,1.0000
2018-11-08,127.4800,132.2500,125.8500,132.2100,131.4052,1725667,0.0000,1.0000
2018-11-07,126.0000,128.1000,120.1700,127.4000,126.6245,2737729,0.0000,1.0000
2018-11-06,130.2500,134.8000,124.7800,127.7900,127.0121,5409815,0.0000,1.0000
2018-11-05,133.7700,137.3400,131.2500,136.8000,135.9673,1568948,0.0000,1.0000
2018-11-02,133.5700,134.9000,131.4300,134.0300,133.2141,1077327,0.0000,1.0000
2018-11-01,129.4600,132.8800,127.5000,132.4500,131.6438,1900894,0.0000,1.0000
2018-10-31,131.9500,133.5100,129.5100,129.6100,128.8210,1551309,0.0000,1.0000
2018-10-30,131.3900,132.4599,127.9400,131.0900,130.2920,1547857,0.0000,1.0000
2018-10-29,130.0000,133.2200,129.0000,130.8800,130.0833,1231017,0.0000,1.0000
2018-10-26,125.6200,128.0000,124.1500,127.2200,126.4456,901402,0.0000,1.0000
2018-10-25,124.9000,127.6800,124.7600,127.0400,126.2667,1310916,0.0000,1.0000
2018-10-24,127.7400,129.3200,124.1500,124.4100,123.6527,1055966,0.0000,1.0000
2018-10-23,125.8000,128.7100,124.1200,127.8300,127.0519,1020507,0.0000,1.0000
2018-10-22,124.2700,128.3200,123.8200,128.0600,127.2805,1128153,0.0000,1.0000
2018-10-19,126.0000,127.5986,122.4800,123.4800,122.7284,1389623,0.0000,1.0000
2018-10-18,127.4000,129.5000,125.7500,126.6500,125.8791,990721,0.0000,1.0000
2018-10-17,129.5500,129.8000,126.8400,128.1700,127.3898,932109,0.0000,1.0000
2018-10-16,126.8100,129.2900,125.3900,129.1600,128.3738,1119645,0.0000,1.0000
2018-10-15,127.6000,127.6000,124.2000,126.5100,125.7399,2300716,0.0000,1.0000
2018-10-12,119.4700,121.8900,119.1300,121.4200,120.6809,1773103,0.0000,1.0000
2018-10-11,116.9600,120.3000,116.0800,117.6500,116.9338,1304974,0.0000,1.0000
2018-10-10,125.3400,125.3400,116.8000,116.9600,116.2480,1920658,0.0000,1.0000
2018-10-09,127.6700,129.3500,127.0600,127.7400,126.9624,570208,0.0000,1.0000
2018-10-08,126.1900,128.9228,125.8800,128.0200,127.2407,772652,0.0000,1.0000
2018-10-05,127.1100,128.1700,125.1700,126.4600,125.6902,1495631,0.0000,1.0000
