Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2014-08-20,48.32,48.42,47.97,48.33,404700.0,0.0,1.0,46.957150064386,47.054329596804,46.617021700923,46.966868017628,404700.0
2014-08-21,48.45,48.95,48.16,48.72,526500.0,0.0,1.0,47.08348345653,47.56938111862,46.801662812517,47.345868194058,526500.0
2014-08-22,48.72,49.13,48.51,48.87,733400.0,0.0,1.0,47.345868194058,47.744304276972,47.14179117598,47.491637492685,733400.0
2014-08-25,49.05,49.31,48.53,48.97,658000.0,0.0,1.0,47.666560651038,47.919227435325,47.161227082464,47.588817025103,658000.0
2014-08-26,49.01,49.41,48.85,49.16,735300.0,0.0,1.0,47.627688838071,48.016406967743,47.472201586202,47.773458136698,735300.0
2014-08-27,49.29,49.29,48.72,48.81,488800.0,0.0,1.0,47.899791528841,47.899791528841,47.345868194058,47.433329773235,488800.0
2014-08-28,48.58,48.69,48.29,48.44,442900.0,0.0,1.0,47.209816848673,47.316714334333,46.927996204661,47.073765503288,442900.0
2014-08-29,48.5,49.01,48.38,48.9,530800.0,0.0,1.0,47.132073222739,47.627688838071,47.015457783837,47.520791352411,530800.0
2014-09-02,49.09,49.135,48.41,48.91,1035100.0,0.0,1.0,47.705432464005,47.749163253593,47.044611643562,47.530509305653,1035100.0
2014-09-03,49.0,49.1,48.59,48.8,867800.0,0.0,1.0,47.617970884829,47.715150417247,47.219534801915,47.423611819993,867800.0
2014-09-04,48.84,49.3,48.83,49.27,1119100.0,0.0,1.0,47.46248363296,47.909509482083,47.452765679718,47.880355622357,1119100.0
2014-09-05,49.28,49.78,48.89,49.6,809300.0,0.0,1.0,47.890073575599,48.375971237689,47.511073399169,48.201048079337,809300.0
2014-09-08,49.56,49.67,49.19,49.5,379300.0,0.0,1.0,48.16217626637,48.269073752029,47.802611996423,48.103868546919,379300.0
2014-09-09,49.32,49.38,48.81,48.91,989700.0,0.0,1.0,47.928945388566,47.987253108017,47.433329773235,47.530509305653,989700.0
2014-09-10,49.06,49.55,48.74,48.85,901800.0,0.0,1.0,47.67627860428,48.152458313128,47.365304100542,47.472201586202,901800.0
2014-09-11,48.58,49.088,48.43,48.98,751500.0,0.0,1.0,47.209816848673,47.703488873357,47.064047550046,47.598534978345,751500.0
